TIME 	 FLUX
1064.33145373757724883	2071055.50000000000000000
1064.33213481264829170	2071114.25000000000000000
1064.33281598770554410	2071077.12500000000000000
1064.33349706277658697	2070546.62500000000000000
1064.33417813783307793	2071166.25000000000000000
1064.33485921288956888	2071147.87500000000000000
1064.33554028795333579	2071111.00000000000000000
1064.33622136300982675	2070720.37500000000000000
1064.33690243808086962	2071094.12500000000000000
1064.33758361313812202	2070916.25000000000000000
1064.33826468820916489	2071026.12500000000000000
1064.33894576327293180	2070962.62500000000000000
1064.33962683832942275	2071035.50000000000000000
1064.34030801338667516	2071197.50000000000000000
1064.34098898845695658	2071388.62500000000000000
1064.34167006352799945	2070889.75000000000000000
1064.34235123859252781	2070866.37500000000000000
1064.34303231364901876	2070648.37500000000000000
1064.34371338872006163	2070731.12500000000000000
1064.34439456377731403	2071112.50000000000000000
1064.34507563884835690	2071110.12500000000000000
1064.34575671391212381	2071014.12500000000000000
1064.34643778896861477	2070476.37500000000000000
1064.34711886403965764	2070789.50000000000000000
1064.34779993911070051	2070803.62500000000000000
1064.34848111416795291	2070821.25000000000000000
1064.34916218922444386	2071269.87500000000000000
1064.34984326428821078	2070947.50000000000000000
1064.35052443936001509	2071009.87500000000000000
1064.35120551443105796	2070685.12500000000000000
1064.35188668948831037	2071021.75000000000000000
1064.35256766454403987	2070862.25000000000000000
1064.35324873962235870	2070661.62500000000000000
1064.35392981469340157	2070984.12500000000000000
1064.35461098975065397	2071176.25000000000000000
1064.35529206480714492	2070555.25000000000000000
1064.35597323987894924	2070683.12500000000000000
1064.35665431494999211	2071094.62500000000000000
1064.35733539001375902	2070859.37500000000000000
1064.35801636508404044	2070883.62500000000000000
1064.35869754015584476	2071223.37500000000000000
1064.35937861521233572	2071141.87500000000000000
1064.36005969028337859	2070871.00000000000000000
1064.36074086536245886	2070888.12500000000000000
1064.36142194041894982	2071178.12500000000000000
1064.36210301547544077	2070557.25000000000000000
1064.36278419054724509	2071239.62500000000000000
1064.36346516561752651	2070702.25000000000000000
1064.36414624068129342	2070849.00000000000000000
1064.36482741575309774	2071112.12500000000000000
1064.36550849082414061	2070793.62500000000000000
1064.36618956588063156	2070573.37500000000000000
1064.36687064096622635	2070837.00000000000000000
1064.36755181602347875	2070347.50000000000000000
1064.36823289110179758	2071025.25000000000000000
1064.36891386617207900	2071089.12500000000000000
1064.36959504124388332	2071053.50000000000000000
1064.37027611631492618	2070938.00000000000000000
1064.37095719137869310	2071058.12500000000000000
1064.37163836645049741	2071107.12500000000000000
1064.37231944152154028	2070920.50000000000000000
1064.37300051657803124	2070853.12500000000000000
1064.37368169164983556	2070804.25000000000000000
1064.37436276672087843	2070937.62500000000000000
1064.37504374179843580	2070526.37500000000000000
1064.37572481686947867	2070854.62500000000000000
1064.37640599192673108	2070811.12500000000000000
1064.37708706701232586	2071156.37500000000000000
1064.37776824206957826	2071142.75000000000000000
1064.37844931714789709	2070613.37500000000000000
1064.37913039221893996	2070933.12500000000000000
1064.37981156729074428	2070878.75000000000000000
1064.38049254236102570	2071056.37500000000000000
1064.38117361743206857	2070726.75000000000000000
1064.38185479250387289	2070873.25000000000000000
1064.38253586756763980	2070766.37500000000000000
1064.38321694265323458	2070920.50000000000000000
1064.38389811771048699	2070817.50000000000000000
1064.38457919279608177	2070885.25000000000000000
1064.38526026785257272	2071077.00000000000000000
1064.38594134294544347	2070926.37500000000000000
1064.38662241800193442	2070816.00000000000000000
1064.38730349308752920	2071017.62500000000000000
1064.38798466814478161	2070930.50000000000000000
1064.38866574321582448	2070878.87500000000000000
1064.38934681829414330	2070740.12500000000000000
1064.39002799336594762	2071153.25000000000000000
1064.39070906843699049	2071030.87500000000000000
1064.39139004352182383	2071012.75000000000000000
1064.39207111857831478	2071044.12500000000000000
1064.39275229367194697	2071188.62500000000000000
1064.39343336872843793	2070656.50000000000000000
1064.39411444381403271	2070803.25000000000000000
1064.39479561888583703	2071150.12500000000000000
1064.39547669395687990	2070858.62500000000000000
1064.39615776904247468	2070964.12500000000000000
1064.39683894410700304	2071309.75000000000000000
1064.39751991919183638	2070822.12500000000000000
1064.39820099426287925	2071357.87500000000000000
1064.39888216933468357	2070646.00000000000000000
1064.39956324440572644	2070534.37500000000000000
1064.40024431948404526	2071093.00000000000000000
1064.40092539456964005	2070977.62500000000000000
1064.40160656962689245	2070951.87500000000000000
1064.40228764471248724	2071093.12500000000000000
1064.40296861978276866	2070750.25000000000000000
1064.40364979486184893	2070920.25000000000000000
1064.40433086994744372	2070399.62500000000000000
1064.40501194501848659	2070690.50000000000000000
1064.40569312009029090	2071171.87500000000000000
1064.40637419516133377	2070874.62500000000000000
1064.40705537023313809	2071174.87500000000000000
1064.40773644532600883	2071191.75000000000000000
1064.40841742039629025	2071369.87500000000000000
1064.40909849546733312	2070988.62500000000000000
1064.40977967055368936	2070916.37500000000000000
1064.41046074562473223	2070326.87500000000000000
1064.41114192070381250	2070753.37500000000000000
1064.41182299578940729	2070931.12500000000000000
1064.41250407084589824	2070594.12500000000000000
1064.41318524593225447	2070996.87500000000000000
1064.41386622101708781	2071144.62500000000000000
1064.41454729609540664	2070817.87500000000000000
1064.41522847116721096	2070596.25000000000000000
1064.41590954625280574	2070757.50000000000000000
1064.41659062132384861	2070690.87500000000000000
